values,side_of_board
0.01,Left
1,Left
5,Left
10,Left
25,Left
50,Left
75,Left
100,Left
200,Left
300,Left
400,Left
500,Left
750,Left
1000,Right
5000,Right
10000,Right
25000,Right
50000,Right
75000,Right
100000,Right
200000,Right
300000,Right
400000,Right
500000,Right
750000,Right
1000000,Right
